titulo,autores,edicao,quantidade
"1984","George Orwell",1,5
"Cem Anos de Solidão","Gabriel García Márquez",1,3
"Dom Quixote","Miguel de Cervantes",2,4
"A Metamorfose","Franz Kafka",3,6
"O Pequeno Príncipe","Antoine de Saint-Exupéry",1,7
"Crime e Castigo","Fiódor Dostoiévski",2,3
"O Senhor dos Anéis","J.R.R. Tolkien",3,5
"Orgulho e Preconceito","Jane Austen",1,4
"O Grande Gatsby","F. Scott Fitzgerald",2,3
"Ulisses","James Joyce",1,2
"Moby Dick","Herman Melville",2,4
"A Divina Comédia","Dante Alighieri",1,3
"Hamlet","William Shakespeare",3,5
"O Apanhador no Campo de Centeio","J.D. Salinger",1,4
"O Processo","Franz Kafka",2,3
"A Revolução dos Bichos","George Orwell",1,6
"O Retrato de Dorian Gray","Oscar Wilde",2,4
"O Morro dos Ventos Uivantes","Emily Brontë",1,3
"Os Miseráveis","Victor Hugo",2,5
"Madame Bovary","Gustave Flaubert",1,3
"Anna Karenina","Lev Tolstói",2,4
"O Coração das Trevas","Joseph Conrad",1,3
"Lolita","Vladimir Nabokov",2,2
"As Vinhas da Ira","John Steinbeck",1,4
"O Som e a Fúria","William Faulkner",2,3
"O Velho e o Mar","Ernest Hemingway",1,5
"O Estrangeiro","Albert Camus",2,4
"O Hobbit","J.R.R. Tolkien",1,6
"A Ilíada","Homero",2,3
"A Odisseia","Homero",1,3
"O Nome da Rosa","Umberto Eco",2,4
"O Lobo da Estepe","Hermann Hesse",1,3
"O Jogo da Amarelinha","Julio Cortázar",2,2
"O Amor nos Tempos do Cólera","Gabriel García Márquez",1,4
"A Insustentável Leveza do Ser","Milan Kundera",2,3
"Os Irmãos Karamázov","Fiódor Dostoiévski",1,3
"O Conde de Monte Cristo","Alexandre Dumas",2,5
"O Vermelho e o Negro","Stendhal",1,3
"O Retrato da Senhora","Henry James",2,2
"As Flores do Mal","Charles Baudelaire",1,3
"O Idiota","Fiódor Dostoiévski",2,3
"A Montanha Mágica","Thomas Mann",1,2
"O Castelo","Franz Kafka",2,3
"O Estranho Caso do Dr. Jekyll e Mr. Hyde","Robert Louis Stevenson",1,4
"O Homem Sem Qualidades","Robert Musil",2,2
"O Leopardo","Giuseppe Tomasi di Lampedusa",1,3
"Ficções","Jorge Luis Borges",2,4
"O Mestre e Margarida","Mikhail Bulgákov",1,3
"A Peste","Albert Camus",2,4
"Crônica de uma Morte Anunciada","Gabriel García Márquez",1,5
"O Segundo Sexo","Simone de Beauvoir",2,3
"Memórias Póstumas de Brás Cubas","Machado de Assis",1,4
"Dom Casmurro","Machado de Assis",2,5
"Grande Sertão: Veredas","João Guimarães Rosa",1,3
"Vidas Secas","Graciliano Ramos",2,4
"Capitães da Areia","Jorge Amado",1,5
"O Cortiço","Aluísio Azevedo",2,4
"Macunaíma","Mário de Andrade",1,3
"A Hora da Estrela","Clarice Lispector",2,4
"O Guarani","José de Alencar",1,3
"Iracema","José de Alencar",2,4
"Quincas Borba","Machado de Assis",1,3
"O Ateneu","Raul Pompeia",2,3
"A Moreninha","Joaquim Manuel de Macedo",1,4
"Memórias de um Sargento de Milícias","Manuel Antônio de Almeida",2,3
"O Mulato","Aluísio Azevedo",1,3
"O Triste Fim de Policarpo Quaresma","Lima Barreto",2,4
"São Bernardo","Graciliano Ramos",1,3
"Angústia","Graciliano Ramos",2,3
"A Paixão Segundo G.H.","Clarice Lispector",1,2
"Laços de Família","Clarice Lispector",2,4
"Sagarana","João Guimarães Rosa",1,3
"O Quinze","Rachel de Queiroz",2,4
"Fogo Morto","José Lins do Rego",1,3
"Terras do Sem Fim","Jorge Amado",2,3
"Mar Morto","Jorge Amado",1,4
"A Bagaceira","José Américo de Almeida",2,3
"O Tempo e o Vento","Érico Veríssimo",1,4
"Incidente em Antares","Érico Veríssimo",2,3
"Memórias Sentimentais de João Miramar","Oswald de Andrade",1,2
"Serafim Ponte Grande","Oswald de Andrade",2,3
"Brás, Bexiga e Barra Funda","Antônio de Alcântara Machado",1,3
"A Escrava Isaura","Bernardo Guimarães",2,4
"O Seminarista","Bernardo Guimarães",1,3
"O Gaúcho","José de Alencar",2,3
"O Tronco do Ipê","José de Alencar",1,3
"Lucíola","José de Alencar",2,4
"A Viuvinha","José de Alencar",1,3
"Til","José de Alencar",2,3
"O Sertanejo","José de Alencar",1,3
"O Cabeleira","Franklin Távora",2,3
"O Alienista","Machado de Assis",1,5
"Esaú e Jacó","Machado de Assis",2,3
"Memorial de Aires","Machado de Assis",1,3
"Casa Velha","Machado de Assis",2,3
"Helena","Machado de Assis",1,4
"Ressurreição","Machado de Assis",2,3
